ID_ATECO;CODICE_ATECO;DESCRIZIONE
251;10.41.2;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
252;10.41.20;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
253;10.41.3;Produzione di oli e grassi animali grezzi o raffinati
254;10.41.30;Produzione di oli e grassi animali grezzi o raffinati
255;10.42;Produzione di margarina e di grassi commestibili simili
256;10.42.0;Produzione di margarina e di grassi commestibili simili
257;10.42.00;Produzione di margarina e di grassi commestibili simili
258;10.5;INDUSTRIA LATTIERO-CASEARIA
259;10.51;Industria lattiero-casearia, trattamento igienico, conservazione del latte
260;10.51.1;Trattamento igienico del latte
261;10.51.10;Trattamento igienico del latte
262;10.51.2;Produzione dei derivati del latte
263;10.51.20;Produzione dei derivati del latte
264;10.52;Produzione di gelati
265;10.52.0;Produzione di gelati senza vendita diretta al pubblico
266;10.52.00;Produzione di gelati senza vendita diretta al pubblico
267;10.6;LAVORAZIONE DELLE GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI
268;10.61;Lavorazione delle granaglie
269;10.61.1;Molitura del frumento
270;10.61.10;Molitura del frumento
271;10.61.2;Molitura di altri cereali
272;10.61.20;Molitura di altri cereali
273;10.61.3;Lavorazione del riso
274;10.61.30;Lavorazione del riso
275;10.61.4;Altre lavorazioni di semi e granaglie
276;10.61.40;Altre lavorazioni di semi e granaglie
277;10.62;Produzione di amidi e di prodotti amidacei
278;10.62.0;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais)
279;10.62.00;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais)
280;10.7;PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI
281;10.71;"Produzione di pane; prodotti di pasticceria freschi"
282;10.71.1;Produzione di prodotti di panetteria freschi
283;10.71.10;Produzione di prodotti di panetteria freschi
284;10.71.2;Produzione di pasticceria fresca
285;10.71.20;Produzione di pasticceria fresca
286;10.72;"Produzione di fette biscottate e di biscotti; produzione di prodotti di pasticceria conservati"
287;10.72.0;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati"
288;10.72.00;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati"
289;10.73;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili
290;10.73.0;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili
291;10.73.00;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili
292;10.8;PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI
293;10.81;Produzione di zucchero
294;10.81.0;Produzione di zucchero
295;10.81.00;Produzione di zucchero
296;10.82;Produzione di cacao, cioccolato, caramelle e confetterie
297;10.82.0;Produzione di cacao in polvere, cioccolato, caramelle e confetterie
298;10.82.00;Produzione di cacao in polvere, cioccolato, caramelle e confetterie
299;10.83;Lavorazione del tè e del caffè
300;10.83.0;Lavorazione del tè e del caffè
301;10.83.01;Lavorazione del caffè
302;10.83.02;Lavorazione del tè e di altri preparati per infusi
303;10.84;Produzione di condimenti e spezie
304;10.84.0;Produzione di condimenti e spezie
305;10.84.00;Produzione di condimenti e spezie
306;10.85;Produzione di pasti e piatti preparati
307;10.85.0;Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati)
308;10.85.01;Produzione di piatti pronti a base di carne e pollame
309;10.85.02;Produzione di piatti pronti a base di pesce, inclusi fish and chips
310;10.85.03;Produzione di piatti pronti a base di ortaggi
311;10.85.04;Produzione di pizza confezionata
312;10.85.05;Produzione di piatti pronti a base di pasta
313;10.85.09;Produzione di pasti e piatti pronti di altri prodotti alimentari
314;10.86;Produzione di preparati omogeneizzati e di alimenti dietetici
315;10.86.0;Produzione di preparati omogeneizzati e di alimenti dietetici
316;10.86.00;Produzione di preparati omogeneizzati e di alimenti dietetici
317;10.89;Produzione di altri prodotti alimentari nca
318;10.89.0;Produzione di altri prodotti alimentari nca
319;10.89.01;Produzione di estratti e succhi di carne
320;10.89.09;Produzione di altri prodotti alimentari nca
321;10.9;PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI
322;10.91;Produzione di mangimi per l'alimentazione degli animali da allevamento
323;10.91.0;Produzione di mangimi per l'alimentazione degli animali da allevamento
324;10.91.00;Produzione di mangimi per l'alimentazione degli animali da allevamento
325;10.92;Produzione di prodotti per l'alimentazione degli animali da compagnia
326;10.92.0;Produzione di prodotti per l'alimentazione degli animali da compagnia
327;10.92.00;Produzione di prodotti per l'alimentazione degli animali da compagnia
328;11;INDUSTRIA DELLE BEVANDE
329;11.0;INDUSTRIA DELLE BEVANDE
330;11.01;Distillazione, rettifica e miscelatura degli alcolici
331;11.01.0;Distillazione, rettifica e miscelatura degli alcolici
332;11.01.00;Distillazione, rettifica e miscelatura degli alcolici
333;11.02;Produzione di vini da uve
334;11.02.1;Produzione di vini da tavola e v.p.q.r.d.
335;11.02.10;Produzione di vini da tavola e v.p.q.r.d.
336;11.02.2;Produzione di vino spumante e altri vini speciali
337;11.02.20;Produzione di vino spumante e altri vini speciali
338;11.03;Produzione di sidro e di altri vini a base di frutta
339;11.03.0;Produzione di sidro e di altri vini a base di frutta
340;11.03.00;Produzione di sidro e di altri vini a base di frutta
341;11.04;Produzione di altre bevande fermentate non distillate
342;11.04.0;Produzione di altre bevande fermentate non distillate
343;11.04.00;Produzione di altre bevande fermentate non distillate
344;11.05;Produzione di birra
345;11.05.0;Produzione di birra
346;11.05.00;Produzione di birra
347;11.06;Produzione di malto
348;11.06.0;Produzione di malto
349;11.06.00;Produzione di malto
350;11.07;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia
351;11.07.0;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia
352;11.07.00;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia
353;12;INDUSTRIA DEL TABACCO
354;12.0;INDUSTRIA DEL TABACCO
355;12.00;Industria del tabacco
356;12.00.0;Industria del tabacco
357;12.00.00;Industria del tabacco
358;13;INDUSTRIE TESSILI
359;13.1;PREPARAZIONE E FILATURA DI FIBRE TESSILI
360;13.10;Preparazione e filatura di fibre tessili
361;13.10.0;Preparazione e filatura di fibre tessili
362;13.10.00;Preparazione e filatura di fibre tessili
363;13.2;TESSITURA
364;13.20;Tessitura
365;13.20.0;Tessitura
366;13.20.00;Tessitura
367;13.3;FINISSAGGIO DEI TESSILI
368;13.30;Finissaggio dei tessili
369;13.30.0;Finissaggio dei tessili
370;13.30.00;Finissaggio dei tessili
371;13.9;ALTRE INDUSTRIE TESSILI
372;13.91;Fabbricazione di tessuti a maglia
373;13.91.0;Fabbricazione di tessuti a maglia
374;13.91.00;Fabbricazione di tessuti a maglia
375;13.92;Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento)
376;13.92.1;Confezionamento di biancheria da letto, da tavola e per l'arredamento
377;13.92.10;Confezionamento di biancheria da letto, da tavola e per l'arredamento
378;13.92.2;Fabbricazione di articoli in materie tessili nca
379;13.92.20;Fabbricazione di articoli in materie tessili nca
380;13.93;Fabbricazione di tappeti e moquette
381;13.93.0;Fabbricazione di tappeti e moquette
382;13.93.00;Fabbricazione di tappeti e moquette
383;13.94;Fabbricazione di spago, corde, funi e reti
384;13.94.0;Fabbricazione di spago, corde, funi e reti
385;13.94.00;Fabbricazione di spago, corde, funi e reti
386;13.95;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
387;13.95.0;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
388;13.95.00;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
389;13.96;Fabbricazione di articoli tessili tecnici ed industriali
390;13.96.1;Fabbricazione di nastri, etichette e passamanerie di fibre tessili
391;13.96.10;Fabbricazione di nastri, etichette e passamanerie di fibre tessili
392;13.96.2;Fabbricazione di altri articoli tessili tecnici ed industriali
393;13.96.20;Fabbricazione di altri articoli tessili tecnici ed industriali
394;13.99;Fabbricazione di altri prodotti tessili nca
395;13.99.1;Fabbricazione di ricami
396;13.99.10;Fabbricazione di ricami
397;13.99.2;Fabbricazione di tulle, pizzi e merletti
398;13.99.20;Fabbricazione di tulle, pizzi e merletti
399;13.99.9;Fabbricazione di feltro e articoli tessili diversi
400;13.99.90;Fabbricazione di feltro e articoli tessili diversi
401;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA"
402;14.1;CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA)
403;14.11;Confezione di abbigliamento in pelle
404;14.11.0;Confezione di abbigliamento in pelle e similpelle
405;14.11.00;Confezione di abbigliamento in pelle e similpelle
406;14.12;Confezione di indumenti da lavoro
407;14.12.0;Confezione di camici, divise ed altri indumenti da lavoro
408;14.12.00;Confezione di camici, divise ed altri indumenti da lavoro
409;14.13;Confezione di altro abbigliamento esterno
410;14.13.1;Confezione in serie di abbigliamento esterno
411;14.13.10;Confezione in serie di abbigliamento esterno
412;14.13.2;Sartoria e confezione su misura di abbigliamento esterno
413;14.13.20;Sartoria e confezione su misura di abbigliamento esterno
414;14.14;Confezione di biancheria intima
415;14.14.0;Confezione di camice, T-shirt, corsetteria e altra biancheria intima
416;14.14.00;Confezione di camice, T-shirt, corsetteria e altra biancheria intima
417;14.19;Confezione di altri articoli di abbigliamento ed accessori
418;14.19.1;Confezioni varie e accessori per l'abbigliamento
419;14.19.10;Confezioni varie e accessori per l'abbigliamento
420;14.19.2;Confezioni di abbigliamento sportivo o indumenti particolari
421;14.19.21;Fabbricazione di calzature realizzate in materiale tessile senza suole applicate
422;14.19.29;Confezioni di abbigliamento sportivo o di altri indumenti particolari
423;14.2;CONFEZIONE DI ARTICOLI IN PELLICCIA
424;14.20;Confezione di articoli in pelliccia
425;14.20.0;Confezione di articoli in pelliccia
426;14.20.00;Confezione di articoli in pelliccia
427;14.3;FABBRICAZIONE DI ARTICOLI DI MAGLIERIA
428;14.31;Fabbricazione di articoli di calzetteria in maglia
429;14.31.0;Fabbricazione di articoli di calzetteria in maglia
430;14.31.00;Fabbricazione di articoli di calzetteria in maglia
431;14.39;Fabbricazione di altri articoli di maglieria
432;14.39.0;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia
433;14.39.00;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia
434;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI
435;15.1;"PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA; PREPARAZIONE E TINTURA DI PELLICCE"
436;15.11;"Preparazione e concia del cuoio; preparazione e tintura di pellicce"
437;15.11.0;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce"
438;15.11.00;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce"
439;15.12;Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria
440;15.12.0;Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria
441;15.12.01;Fabbricazione di frustini e scudisci per equitazione
442;15.12.09;Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria
443;15.2;FABBRICAZIONE DI CALZATURE
444;15.20;Fabbricazione di calzature
445;15.20.1;Fabbricazione di calzature
446;15.20.10;Fabbricazione di calzature
447;15.20.2;Fabbricazione di parti in cuoio per calzature
448;15.20.20;Fabbricazione di parti in cuoio per calzature
449;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO"
450;16.1;TAGLIO E PIALLATURA DEL LEGNO
451;16.10;Taglio e piallatura del legno
452;16.10.0;Taglio e piallatura del legno
453;16.10.00;Taglio e piallatura del legno
454;16.2;FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO
455;16.21;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
456;16.21.0;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
457;16.21.00;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
458;16.22;Fabbricazione di pavimenti in parquet assemblato
459;16.22.0;Fabbricazione di pavimenti in parquet assemblato
460;16.22.00;Fabbricazione di pavimenti in parquet assemblato
461;16.23;Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia
462;16.23.1;Fabbricazione di porte e finestre in legno (escluse porte blindate)
463;16.23.10;Fabbricazione di porte e finestre in legno (escluse porte blindate)
